MATMOTW,OUI,NOTES,ORIGINAL_FORMAT,DATE,MATMOTW_PART,GB_FILE_NAME,TC_LABEL,START_TIME,TIMECODE_ELAPSED,CONVO_SILENCE,CORRECTED _START_TIME,REXPORTED,MASTERING_NOTES
118,TC_031,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-14,2,TC_031_02,771009 Whiteman St. / 771014 2 / SLL Outtakes,00:07-34:10,33:56:00,EK,,N,
119,TC_031,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-14,3,TC_031_02,771009 Whiteman St. / 771014 2 / SLL Outtakes,34:15-38:50,04:34:00,EK,,N,
120,TC_031,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-14,4,TC_031_02,771009 Whiteman St. / 771014 2 / SLL Outtakes,38:54-42:10,03:15:00,EK,,N,
121,TC_031,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-14,5,TC_031_02,771009 Whiteman St. / 771014 2 / SLL Outtakes,42:11-45:29,03:17:00,EK,,N,
122,TC_032,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-13,,TC_032_01,771013 Weber / 771014 1,00:00-46:02,46:02:00,EK,00:00-46:02,Y,
123,TC_032,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-14,1,TC_032_02,771013 Weber / 771014 1,00:00-46:00,45:58:00,EK,,N,
124,TC_033,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-15,1,TC_033_01,771015 1/2 Weber (head s 1-track 1 very poor),00:00-30:34,30:34:00,EK,,N,
125,TC_033,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-15,2,TC_033_02,771015 1/2 Weber (head s 1-track 1 very poor),00:00-09:47,09:36:00,EK,,N,
126,TC_034,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,1,TC_034_01,771020 1/2 Polidori-Conrad I Weber (Heintzman),00:01-12:56,12:54:00,EK talking 08:51 - 09:30,00:01-12:56,Y,
127,TC_034,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,3,TC_034_02,771020 1/2 Polidori-Conrad I Weber (Heintzman),00:00-29:25,29:25:00,EK,,N,
128,TC_035,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,4,TC_035_01,771020 3/4 Polidori-Conrad II Weber (Heintzman)(s 2 with Steve King too),00:00-13:03,13:02:00,EK,,N,
129,TC_035,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,5,TC_035_01,771020 3/4 Polidori-Conrad II Weber (Heintzman)(s 2 with Steve King too),13:04-30:53,17:51:00,EK,13:04-30:53,Y,
130,TC_035,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,6,TC_035_02,771020 3/4 Polidori-Conrad II Weber (Heintzman)(s 2 with Steve King too),00:00-26:10,26:01:00,EK,,N,
131,TC_035,"University at Buffalo, New York. Weber piano (Heintzman). With Polidori.",8mm Cassette,1977-10-20,7,TC_035_02,771020 3/4 Polidori-Conrad II Weber (Heintzman)(s 2 with Steve King too),26:26-30:52,04:27:00,EK,,N,
132,TC_036,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-21,1,TC_036_01,771021 1/2 Weber,00:00-30:36,30:37:00,EK,,N,
133,TC_036,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-21,2,TC_036_02,771021 1/2 Weber,00:00-30:37,30:37:00,EK,,N,
134,TC_037,,8mm Cassette,1977-11-20,,TC_037_02,771021 3 Weber / 771120,00:00-09:42,09:41:00,EK,00:00-09:42,Y,
135,TC_037,"University at Buffalo, New York. Weber piano.",8mm Cassette,1977-10-21,3,TC_037_01,771021 3 Weber / 771120,00:00-30:00,30:00:00,EK,,N,
136,TC_038,,8mm Cassette,1977-10-29,,TC_038_01,771029 / 771031 3,00:05-30:06,30:01:00,EK,,N,
137,TC_038,,8mm Cassette,1977-10-31,3,TC_038_02,771029 / 771031 3,00:00-30:08,30:03:00,EK,,N,
138,TC_039,,8mm Cassette,1977-10-31,1,TC_039_01,771031 1/2 Monday. S 2: Bass in Eflat alternate hands,00:00-45:48,45:46:00,EK,00:00-45:48,Y,
