MATMOTW,OUI,NOTES,ORIGINAL_FORMAT,DATE,MATMOTW_PART,GB_FILE_NAME,TC_LABEL,START_TIME,TIMECODE_ELAPSED,CONVO_SILENCE,CORRECTED _START_TIME,REXPORTED,MASTERING_NOTES
631,TC_112,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-16,4,TC_112_02,790116 1/2 Piano at Hallwalls,10:31-30:35,20:01:00,HVD,10:31-30:35,Y,
632,TC_120,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-24,3,TC_120_02,790124 1/2 Piano at Hallwalls,6:54-15:47,08:13:00,"HVD: long pause at 6:40, same performance though?",6:54-15:47,Y,
633,TC_123,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-02-13,,TC_123_01,790213 Weber / 790226,23:58-30:33,06:34:00,"HVD: 23:33 half min with no piano
",23:58-30:33,Y,
634,TC_129,"Peterborough, Ontario.",8mm Cassette,1979-04-25,3,TC_129_01,"790425 ""Tiding Over"" at Peterborough Ontario (one side)",24:30-47:03,22:26:00,"HVD:from 3:02 no piano for 1.5 min, also at 37:00",24:30-47:03,Y,"R channel drop outs, distortion. Fix or make mono"
635,TC_135,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-27,2,TC_135_01,790524 3 W (Fragment) / 790527 1/2,22:25-30:56,12:57:00,HVD,22:25-30:56,Y,
636,TC_153,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-07,2,TC_153_01,790807 1/2 W / 790808 1,23:51-30:34,06:42:00,HVD,23:51-30:34,Y,"Only one channel, needs to be mono?"
637,TC_154,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-08,6,TC_154_02,790808 2 W (one side),07:45-19:37,11:45:00,HVD,07:45-19:37,Y,
638,TC_163,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-10-16,,TC_163_01,791016 W (2 EV mikes) / 791018,08:16-47:01,38:44:00,,08:16-47:01,Y,
639,TC_164,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-10-22,2,TC_164_01,791022 W (date approximate) / 791025,12:57-46:53,33:55:00,HVD,12:57-46:53,Y,
640,TC_164,,8mm Cassette,1979-10-25,3,TC_164_02,791022 W (date approximate) / 791025,37:41-46:59,09:16:00,HVD ending cut off,37:41-46:59,Y,
641,TC_166,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-10-28,3,TC_166_01,791028 1/2 W,15:35-31:37,16:00:00,"HVD someone shouting first ~2 mins, then from 3:30- 4:30, pause 9:40-9:56, 10:02-10:12",15:35-31:37,Y,
642,TC_174,"Hallwalls Contemporary Art Center. Buffalo, New York. Farfisa organ.",8mm Cassette,1979-12-01,2,TC_174_01,791201 Farfisa Organ (& voice) Hallwalls / 791207 A,12:28-47:16,34:46:00,,12:28-47:16,Right channel messed up,
643,TC_178,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-16,2,TC_178_02,800116 1/2 Yamaha UCSD,08:14-30:40,22:25:00,HVD,08:14-30:40,Y,Low levels
644,TC_179,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-18,3,TC_179_01,"800118 1/2 Yamaha 133 (""I don't like Art"" on ch 1 only in mid side 2)",02:09-04:52,02:40:00,"HVD sounds like he hit stop at 1:14, silence till 2:10, silence 40:55",02:09-04:52,Y,
645,TC_179,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-01-18,4,TC_179_01,"800118 1/2 Yamaha 133 (""I don't like Art"" on ch 1 only in mid side 2)",05:13-46:08,40:53:00,"HVD sounds like he hit stop at 1:14, silence till 2:10, silence 40:55",05:13-46:08,Y,
646,TC_183,"University of California, San Diego. Yamaha piano.",8mm Cassette,1980-03-05,3,TC_183_02,800305 1/2 Yamaha 139,25:56-31:21,05:23:00,HVD end cut off,25:56-31:21,Y,
647,TC_195,"The Kitchen. New York, New York.",8mm Cassette,1980-05-10,2,TC_195_01,800510 1/2 Kitchen Warmup (1 & pt of 2),00:00-01:18,01:04:00,HVD brief talking 1:10,00:00-01:18,Y,
648,TC_198,With Barb.,8mm Cassette,1980-05-26,3,TC_198_02,800526 1/2 Memorial Day Y 132. 1:Barb & Tony,18:50-47:21,28:28:00,HVD,18:50-47:21,Y,
649,TC_200,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-29,3,TC_200_01,800529 Yamaha 140 (2/3 of side 1) / 800530 A,37:19-41:43,04:23:00,,37:19-41:43,Y,
650,TC_200,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-29,4,TC_200_01,800529 Yamaha 140 (2/3 of side 1) / 800530 A,42:30-43:26,00:54:00,,42:30-43:26,Y,
651,TC_200,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-29,5,TC_200_01,800529 Yamaha 140 (2/3 of side 1) / 800530 A,43:53-47:25,03:29:00,,43:53-47:25,Y,
652,TC_200,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-30,2,TC_200_02,800529 Yamaha 140 (2/3 of side 1) / 800530 A,08:09-09:28,01:19:00,,08:09-09:28,Y,
653,TC_200,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-30,3,TC_200_02,800529 Yamaha 140 (2/3 of side 1) / 800530 A,09:38-10:14,00:35:00,,09:38-10:14,Y,
654,TC_200,"University of California, San Diego. Yamaha 140 piano.",8mm Cassette,1980-05-30,4,TC_200_02,800529 Yamaha 140 (2/3 of side 1) / 800530 A,10:31-11:43,01:10:00,,10:31-11:43,Y,
655,TC_206,"Los Angeles Institute of Contemporary Art, California. Lester Spinet piano.",8mm Cassette,1980-06-22,4,TC_206_01,800622 A LAICA Warmup (abt 3/4 s 1) / WYSO potpourri,10:24-34:09,23:44:00,"HVD 10:16 pause, ""how's that"", presses stop. sounds like perf picks up in same space",10:24-34:09,Y,
656,TC_207,"Los Angeles Institute of Contemporary Art, California. Lester Spinet piano.",8mm Cassette,1980-06-22,5,TC_207_02,800622 1 LAICA 4:00 100 SONGS Lester (breaking 12 keys)(s 1) / 800622 2,27:39-33:31,13:04:00,HVD,27:39-33:31,Y,R channel low level
657,TC_209,"University at Buffalo, New York. Weber piano.",8mm Cassette,"1980-10-21, 1980-10-22, 1980-10-23",4,TC_209_02,810222231/2 Weber at Prospect Rainy Eve 1:30-2:22am (end s 1,33:17-47:20,14:01:00,"HVD 33:17, 38:36 presses stop?",33:17-47:20,Y,
658,TC_214,Fischer piano.,8mm Cassette,1982-01-04,2,TC_214_01,820104 Broughel Fischer,03:35-47:25,43:28:00,HVD chatting during all pauses,03:35-47:25,Y,
659,TC_214,Fischer piano.,8mm Cassette,1982-01-04,4,TC_214_02,820104 Broughel Fischer,26:35-43:09,16:16:00,HVD phone ring at very end,26:35-43:09,Y,
660,TC_217,"University at Buffalo, New York. Weber piano.",8mm Cassette,"1980-10-25, 1980-10-26, 1980-10-27",2,TC_217_01,82102527 W (abt 4/5 s 1)(date approximately Oct 25-27),05:47-39:20,33:46:00,,05:47-39:20,Y,
661,TC_218,"University at Buffalo, New York. Weber piano.",8mm Cassette,"1982-11-13, 1982-12-21",4,TC_218_01,821113 W / 821221 1/2,43:45-47:13,03:26:00,"HVD pause 6:56-7:7:18, 23:05-23:16, end cut off",43:45-47:13,Y,
662,TC_218,"University at Buffalo, New York. Weber piano.",8mm Cassette,"1982-11-13, 1982-12-21",3,TC_218_02,821113 W / 821221 1/2,16:30-18:54,02:19:00,,16:30-18:54,Y,
663,TC_137,"University at Buffalo, New York. Weber piano. Test",8mm Cassette,1979-06-04,2,TC_137_01,790604 W / 790605 1 / David's cembalom 6/3/79 (at head s 1),14:03-27:05,13:00:00,HVD,14:03-27:05,Y,
